# KIT-IMK-IFU Flux Measurement Fundamentals course material (TERENO GAP site subset).
#
# Columns:
# MODELTIME 	: UTC time at the start of a measurement period of 30-min.
# NEE  		: Net Ecosystem Exchange, in umol m-2 s-1
# soiltemp_Avg 	: Soil temperature at ...m in degrees Celcius
# PAR_Avg 		: Q_PPFD in umol m-2 s-1
#
# Contact: Matthias Zeeman <matthias.zeeman@kit.edu>
# Version: 20140805
#
"MODELTIME","Flag.ustar","Flag.wCO2","NEE","soiltemp_Avg","PAR_Avg"
2013-01-01 00:00:00,1,2,-9999,0.5,0
2013-01-01 00:30:00,1,1,-0.64,0.5,0
2013-01-01 01:00:00,1,2,-9999,0.5,0
2013-01-01 01:30:00,1,1,-5.15,0.5,0
2013-01-01 02:00:00,1,1,-5.64,0.5,0
2013-01-01 02:30:00,0,2,-9999,0.5,0
2013-01-01 03:00:00,1,1,0.02,0.5,0
2013-01-01 03:30:00,1,2,-9999,0.5,0
2013-01-01 04:00:00,1,2,-9999,0.5,0
2013-01-01 04:30:00,0,0,-3,0.5,0
2013-01-01 05:00:00,1,1,0.19,0.5,0
2013-01-01 05:30:00,1,2,-9999,0.5,0
2013-01-01 06:00:00,1,1,3.03,0.5,0.4
2013-01-01 06:30:00,1,1,0.4,0.5,16.4
2013-01-01 07:00:00,0,1,0.6,0.5,63.3
2013-01-01 07:30:00,1,2,-9999,0.5,97.4
2013-01-01 08:00:00,1,1,1.34,0.5,172.7
2013-01-01 08:30:00,1,1,2.06,0.5,248.5
2013-01-01 09:00:00,0,2,-9999,0.5,235.8
2013-01-01 09:30:00,1,2,-9999,0.5,317
2013-01-01 10:00:00,1,2,-9999,0.4,393.9
2013-01-01 10:30:00,1,2,-9999,0.4,354.4
2013-01-01 11:00:00,1,2,-9999,0.4,383.7
2013-01-01 11:30:00,0,1,2.17,0.4,406.8
2013-01-01 12:00:00,1,2,-9999,0.4,417
2013-01-01 12:30:00,1,2,-9999,0.4,317.8
2013-01-01 13:00:00,1,2,-9999,0.4,281
2013-01-01 13:30:00,1,2,-9999,0.4,205.1
2013-01-01 14:00:00,1,1,0.82,0.4,121.1
2013-01-01 14:30:00,1,2,-9999,0.4,63.6
2013-01-01 15:00:00,1,1,1.8,0.4,6
2013-01-01 15:30:00,1,2,-9999,0.4,0
2013-01-01 16:00:00,0,2,-9999,0.4,0
2013-01-01 16:30:00,1,1,1.08,0.4,0
2013-01-01 17:00:00,1,1,2.51,0.4,0
2013-01-01 17:30:00,1,1,1.07,0.4,0
2013-01-01 18:00:00,1,2,-9999,0.4,0
2013-01-01 18:30:00,1,1,1.39,0.4,0
2013-01-01 19:00:00,1,2,-9999,0.4,0
2013-01-01 19:30:00,1,1,2.95,0.4,0.4
2013-01-01 20:00:00,1,2,-9999,0.4,0.3
2013-01-01 20:30:00,1,1,-4.35,0.4,0
2013-01-01 21:00:00,1,1,-8.73,0.4,0.1
2013-01-01 21:30:00,2,2,-9999,0.4,0.2
2013-01-01 22:00:00,1,2,-9999,0.4,0.4
2013-01-01 22:30:00,1,1,-3.04,0.4,0.1
2013-01-01 23:00:00,1,2,-9999,0.4,0.3
2013-01-01 23:30:00,1,2,-9999,0.4,0
2013-01-02 00:00:00,1,2,-9999,0.4,0.1
2013-01-02 00:30:00,1,2,-9999,0.4,0.2
2013-01-02 01:00:00,1,1,-7.78,0.4,0.6
2013-01-02 01:30:00,0,1,2.84,0.4,0.2
2013-01-02 02:00:00,1,2,-9999,0.4,0
2013-01-02 02:30:00,1,1,0.42,0.4,0
2013-01-02 03:00:00,0,0,2.74,0.4,0
2013-01-02 03:30:00,1,2,-9999,0.4,0.1
2013-01-02 04:00:00,1,2,-9999,0.4,0.1
2013-01-02 04:30:00,0,2,-9999,0.4,0
2013-01-02 05:00:00,1,2,-9999,0.4,0
2013-01-02 05:30:00,1,2,-9999,0.4,0
2013-01-02 06:00:00,2,2,-9999,0.4,0
2013-01-02 06:30:00,2,2,-9999,0.4,1
2013-01-02 07:00:00,2,2,-9999,0.4,20.8
2013-01-02 07:30:00,2,2,-9999,0.4,51.5
2013-01-02 08:00:00,2,2,-9999,0.4,58.7
2013-01-02 08:30:00,2,2,-9999,0.4,103.6
2013-01-02 09:00:00,2,2,-9999,0.4,164.5
2013-01-02 09:30:00,2,2,-9999,0.4,228.7
2013-01-02 10:00:00,2,2,-9999,0.4,244.5
2013-01-02 10:30:00,2,2,-9999,0.4,277.8
2013-01-02 11:00:00,2,2,-9999,0.4,468.9
2013-01-02 11:30:00,2,2,-9999,0.4,250.7
2013-01-02 12:00:00,1,1,0.48,0.4,324.5
2013-01-02 12:30:00,1,1,1.47,0.4,215.3
2013-01-02 13:00:00,1,1,1.07,0.4,176.5
2013-01-02 13:30:00,1,1,2.18,0.4,162
2013-01-02 14:00:00,1,2,-9999,0.4,105.5
2013-01-02 14:30:00,0,2,-9999,0.4,50.8
2013-01-02 15:00:00,1,1,2.4,0.4,8.8
2013-01-02 15:30:00,1,2,-9999,0.5,0
2013-01-02 16:00:00,1,2,-9999,0.5,0
2013-01-02 16:30:00,1,2,-9999,0.5,0
2013-01-02 17:00:00,1,2,-9999,0.5,0
2013-01-02 17:30:00,1,2,-9999,0.5,0
2013-01-02 18:00:00,1,2,-9999,0.5,0.1
2013-01-02 18:30:00,1,2,-9999,0.5,0
2013-01-02 19:00:00,1,1,-9999,0.5,0
2013-01-02 19:30:00,1,1,29.69,0.5,0
2013-01-02 20:00:00,1,2,-9999,0.5,0
2013-01-02 20:30:00,2,2,-9999,0.5,0
2013-01-02 21:00:00,2,2,-9999,0.5,0
2013-01-02 21:30:00,2,2,-9999,0.5,0
2013-01-02 22:00:00,1,2,-9999,0.5,0
2013-01-02 22:30:00,2,2,-9999,0.5,0
2013-01-02 23:00:00,2,2,-9999,0.5,0
2013-01-02 23:30:00,2,2,-9999,0.5,0
2013-01-03 00:00:00,2,2,-9999,0.5,0
2013-01-03 00:30:00,2,2,-9999,0.5,0
2013-01-03 01:00:00,2,2,-9999,0.5,0
2013-01-03 01:30:00,2,2,-9999,0.5,0
2013-01-03 02:00:00,2,2,-9999,0.5,0
2013-01-03 02:30:00,2,2,-9999,0.5,0
2013-01-03 03:00:00,2,2,-9999,0.5,0
2013-01-03 03:30:00,2,2,-9999,0.5,0
2013-01-03 04:00:00,2,2,-9999,0.5,0
2013-01-03 04:30:00,2,2,-9999,0.5,0.1
2013-01-03 05:00:00,2,2,-9999,0.5,0.1
2013-01-03 05:30:00,2,2,-9999,0.5,0.8
2013-01-03 06:00:00,2,2,-9999,0.5,0
2013-01-03 06:30:00,2,2,-9999,0.5,7.4
2013-01-03 07:00:00,2,2,-9999,0.5,33.4
2013-01-03 07:30:00,2,2,-9999,0.5,88
2013-01-03 08:00:00,2,2,-9999,0.5,106
2013-01-03 08:30:00,2,2,-9999,0.5,126.5
2013-01-03 09:00:00,2,2,-9999,0.5,164.5
2013-01-03 09:30:00,2,2,-9999,0.4,166.9
2013-01-03 10:00:00,2,2,-9999,0.4,188.7
2013-01-03 10:30:00,2,2,-9999,0.4,147.7
2013-01-03 11:00:00,2,2,-9999,0.4,269.7
2013-01-03 11:30:00,2,2,-9999,0.4,320.1
2013-01-03 12:00:00,2,2,-9999,0.4,246.8
2013-01-03 12:30:00,2,2,-9999,0.4,185.9
2013-01-03 13:00:00,2,2,-9999,0.4,131.5
2013-01-03 13:30:00,2,2,-9999,0.4,51.6
2013-01-03 14:00:00,2,2,-9999,0.4,37.7
2013-01-03 14:30:00,1,1,-0.63,0.4,15.8
2013-01-03 15:00:00,1,2,-9999,0.4,4.6
2013-01-03 15:30:00,1,1,-3.38,0.4,0.2
2013-01-03 16:00:00,1,1,1.33,0.4,0
