"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","soiltemp_Avg","VWC_1_Avg","SR01_Out_Avg","SR01_In_Avg","IR01_Out_Avg","IR01_In_Avg","NR01_TC_Avg","NR01_TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","OutTot_Avg","InTot_Avg","NetTot_Avg","IR01_OutCo_Avg","IR01_InCo_Avg","H_Flux_Avg"
"2015-07-28 06:50:00",88,13.32,17.69,16.97,0.235,"NA","NA","NA","NA",-223.8,49.34,"NA","NA","NA","NA","NA","NA","NA","NA",-10.91046
"2015-07-28 07:00:00",89,13.3,18.64,16.97,0.235,"NA","NA","NA","NA",-223.8,49.33,"NA","NA","NA","NA","NA","NA","NA","NA",-10.16898
"2015-07-28 07:10:00",90,13.3,19.2,16.97,0.235,"NA","NA","NA","NA",-223.9,49.23,"NA","NA","NA","NA","NA","NA","NA","NA",-9.604746
"2015-07-28 07:20:00",91,13.28,19.66,16.97,0.235,"NA","NA","NA","NA",-223.9,49.29,"NA","NA","NA","NA","NA","NA","NA","NA",-9.055077
"2015-07-28 07:30:00",92,13.27,20.13,16.98,0.235,"NA","NA","NA","NA",-224,49.15,"NA","NA","NA","NA","NA","NA","NA","NA",-8.316893
"2015-07-28 07:40:00",93,13.26,20.43,16.99,0.234,"NA","NA","NA","NA",-224,49.16,"NA","NA","NA","NA","NA","NA","NA","NA",-7.567579
"2015-07-28 07:50:00",94,13.25,20.71,17.01,0.234,"NA","NA","NA","NA",-223.9,49.23,"NA","NA","NA","NA","NA","NA","NA","NA",-7.019257
"2015-07-28 08:00:00",95,13.24,20.88,17.02,0.235,"NA","NA","NA","NA",-224,49.14,"NA","NA","NA","NA","NA","NA","NA","NA",-6.426864
"2015-07-28 08:10:00",96,13.24,20.9,17.04,0.236,"NA","NA","NA","NA",-224.1,49.05,"NA","NA","NA","NA","NA","NA","NA","NA",-5.918603
"2015-07-28 08:20:00",97,13.24,20.82,17.06,0.234,"NA","NA","NA","NA",-224.1,49.1,"NA","NA","NA","NA","NA","NA","NA","NA",-5.505677
"2015-07-28 08:30:00",98,13.24,20.82,17.08,0.234,"NA","NA","NA","NA",-224,49.14,"NA","NA","NA","NA","NA","NA","NA","NA",-5.005692
"2015-07-28 08:40:00",99,13.24,20.84,17.1,0.233,"NA","NA","NA","NA",-224,49.15,"NA","NA","NA","NA","NA","NA","NA","NA",-4.568244
"2015-07-28 08:50:00",100,13.23,20.88,17.12,0.233,"NA","NA","NA","NA",-224,49.17,"NA","NA","NA","NA","NA","NA","NA","NA",-4.199409
"2015-07-28 09:00:00",101,13.23,20.89,17.14,0.233,"NA","NA","NA","NA",-224.7,48.46,"NA","NA","NA","NA","NA","NA","NA","NA",-3.870543
"2015-07-28 09:10:00",102,13.23,20.93,17.16,0.233,"NA","NA","NA","NA",-77.91,195.2,"NA","NA","NA","NA","NA","NA","NA","NA",-3.608274
"2015-07-28 09:20:00",103,13.23,21.14,17.18,0.232,60.76,254,-3.772,-32.21,19.1,292.3,193.3,-28.44,0.239,56.99,221.8,164.8,409.9,381.4,-3.379803
"2015-07-28 09:30:00",104,13.23,21.03,17.2,0.232,43.93,185.3,-6.661,-29.02,18.93,292.1,141.3,-22.36,0.237,37.27,156.2,119,406,383.6,-3.165683
"2015-07-28 09:40:00",105,13.23,20.91,17.23,0.232,45.03,191.6,-5.551,-28.09,18.53,291.7,146.6,-22.54,0.235,39.48,163.5,124,404.8,382.3,-2.986409
"2015-07-28 09:50:00",106,13.23,20.84,17.25,0.232,64.55,273.2,-1.871,-30.5,18.87,292,208.6,-28.63,0.236,62.68,242.7,180,410.4,381.8,-2.817361
"2015-07-28 10:00:00",107,13.23,20.91,17.27,0.231,81.2,346.8,-2.128,-32.78,19.34,292.5,265.6,-30.65,0.234,79.12,314.1,234.9,412.8,382.2,-2.617574
"2015-07-28 10:10:00",108,13.23,21.06,17.29,0.231,98,420.6,-1.275,-35.19,19.75,292.9,322.6,-33.91,0.233,96.7,385.4,288.7,416,382.1,-2.374758
"2015-07-28 10:20:00",109,13.23,21.21,17.31,0.231,63.32,274.8,-5.547,-34.6,19.44,292.6,211.5,-29.05,0.23,57.78,240.2,182.4,410,380.9,-2.156513
"2015-07-28 10:30:00",110,13.22,21.26,17.33,0.23,79.32,339.9,-3.127,-34.21,19.14,292.3,260.6,-31.08,0.233,76.2,305.7,229.5,410.7,379.7,-1.974164
"2015-07-28 10:40:00",111,13.22,21.29,17.35,0.23,98.6,419.3,-0.538,-36.89,19.44,292.6,320.7,-36.36,0.235,98,382.4,284.3,415,378.6,-1.791804
"2015-07-28 10:50:00",112,13.22,21.41,17.38,0.23,96.5,412.8,-2.074,-37.27,19.78,292.9,316.3,-35.19,0.234,94.4,375.5,281.1,415.4,380.2,-1.545917
"2015-07-28 11:00:00",113,13.22,21.55,17.4,0.229,100.5,435.7,-1.617,-40.12,19.94,293.1,335.2,-38.51,0.231,98.9,395.6,296.7,416.8,378.2,-1.266213
"2015-07-28 11:10:00",114,13.22,21.67,17.42,0.229,106.5,457,-1.256,-35.46,19.86,293,350.6,-34.21,0.233,105.2,421.6,316.4,416.7,382.5,-0.9680935
"2015-07-28 11:20:00",115,13.21,21.77,17.45,0.228,99.5,416.9,-0.711,-31.1,19.96,293.1,317.4,-30.39,0.239,98.8,385.8,287,417.8,387.4,-0.8144253
"2015-07-28 11:30:00",116,13.21,21.9,17.47,0.228,104.8,438.9,-2.593,-33.07,20.33,293.5,334.2,-30.48,0.239,102.2,405.9,303.7,418,387.6,-0.4251379
"2015-07-28 11:40:00",117,13.21,22.04,17.5,0.228,108.2,459.4,-2.75,-32.87,20.12,293.3,351.1,-30.12,0.236,105.5,426.5,321,416.7,386.5,-0.08400275
"2015-07-28 11:50:00",118,13.21,22.09,17.52,0.227,132.7,573.2,-0.442,-35.84,19.71,292.9,440.5,-35.4,0.23,132.3,537.4,405.1,416.7,381.3,0.1751741
"2015-07-28 12:00:00",119,13.21,22.09,17.55,0.227,261.3,1110,13.03,-53.53,21.57,294.7,849,-66.56,0.235,274.4,1057,782.3,440.8,374.3,0.6566406
"2015-07-28 12:10:00",120,13.2,22.4,17.58,0.226,175,774.8,2.201,-59.24,22.15,295.3,599.9,-61.44,0.225,177.2,715.6,538.4,433.4,371.9,1.414683
"2015-07-28 12:20:00",121,13.19,22.71,17.61,0.226,191.1,842,4.671,-63.24,21.76,294.9,650.5,-67.91,0.226,195.8,778.4,582.6,433.5,365.6,1.66561
"2015-07-28 12:30:00",122,13.19,22.92,17.65,0.225,204.2,889,5.996,-56.74,22.02,295.2,685.3,-62.73,0.229,210.1,833,622.5,436.4,373.7,2.157268
"2015-07-28 12:40:00",123,13.18,23.17,17.68,0.225,153.9,671.1,1.033,-48.48,21.57,294.7,517.2,-49.52,0.229,154.9,622.6,467.7,428.8,379.3,2.677595
"2015-07-28 12:50:00",124,13.18,23.32,17.72,0.224,146.1,631.9,-0.319,-43.58,21.34,294.5,485.8,-43.26,0.231,145.8,588.3,442.5,426.1,382.9,3.022739
"2015-07-28 13:00:00",125,13.18,23.35,17.76,0.224,114.7,493.5,-1.256,-36.77,20.2,293.4,378.7,-35.51,0.232,113.5,456.7,343.2,418.6,383.1,3.444726
"2015-07-28 13:10:00",126,13.18,23.21,17.8,0.223,107.9,466.4,0.223,-35.31,19.96,293.1,358.5,-35.53,0.231,108.1,431.1,322.9,418.7,383.2,3.654702
"2015-07-28 13:20:00",127,13.18,23.04,17.84,0.223,94.6,405.8,-0.772,-31.57,19.67,292.8,311.2,-30.8,0.233,93.8,374.2,280.4,416.1,385.3,3.844219
"2015-07-28 13:30:00",128,13.19,22.88,17.88,0.223,89,380.4,-1.072,-30.27,19.76,292.9,291.4,-29.2,0.234,87.9,350.1,262.2,416.3,387.1,4.041955
"2015-07-28 13:40:00",129,13.19,22.77,17.91,0.221,76.03,326,-2.581,-28.07,19.56,292.7,249.9,-25.49,0.233,73.45,297.9,224.4,413.7,388.2,4.092186
"2015-07-28 13:50:00",130,13.19,22.63,17.94,0.221,67.94,291.3,-2.804,-26.09,19.11,292.3,223.3,-23.29,0.233,65.14,265.2,200,410.9,387.6,4.037917
"2015-07-28 14:00:00",131,13.2,22.43,17.98,0.221,72,307.6,-1.145,-25.33,18.83,292,235.6,-24.19,0.234,70.86,282.3,211.4,411,386.8,3.979547
"2015-07-28 14:10:00",132,13.2,22.26,18,0.221,71.36,305.2,-1.556,-26.51,19.18,292.3,233.9,-24.95,0.234,69.8,278.7,208.9,412.5,387.5,3.947852
"2015-07-28 14:20:00",133,13.2,22.19,18.03,0.22,79.63,343,-0.492,-27.99,19.46,292.6,263.3,-27.5,0.232,79.13,315,235.8,415.2,387.7,3.890553
"2015-07-28 14:30:00",134,13.2,22.15,18.05,0.22,56.06,243.5,-4.14,-24.87,19.08,292.2,187.4,-20.73,0.23,51.92,218.6,166.7,409.4,388.7,3.711319
"2015-07-28 14:40:00",135,13.2,22.01,18.08,0.22,34.35,148.3,-5.408,-22.4,18.45,291.6,113.9,-16.99,0.232,28.94,125.9,96.9,404.5,387.5,3.516686
"2015-07-28 14:50:00",136,13.21,21.79,18.09,0.22,26.8,115.6,-5.066,-20.91,18.09,291.2,88.8,-15.84,0.232,21.74,94.7,72.92,402.9,387,3.412208
"2015-07-28 15:00:00",137,13.21,21.55,18.11,0.22,22.64,98.2,-4.913,-19.55,17.72,290.9,75.56,-14.64,0.23,17.72,78.65,60.93,401,386.3,3.19304
"2015-07-28 15:10:00",138,13.22,21.31,18.13,0.22,25.67,110.2,-3.257,-19.59,17.7,290.9,84.5,-16.33,0.233,22.41,90.6,68.18,402.5,386.2,3.014853
"2015-07-28 15:20:00",139,13.22,21.13,18.14,0.219,25.69,109.4,-3.749,-19.68,17.7,290.8,83.7,-15.93,0.235,21.94,89.7,67.8,402,386,2.852009
"2015-07-28 15:30:00",140,13.22,20.98,18.15,0.219,23.12,99.7,-3.142,-20.01,17.74,290.9,76.54,-16.86,0.232,19.98,79.66,59.68,402.8,386,2.644087
"2015-07-28 15:40:00",141,13.23,20.87,18.16,0.219,16.78,73.32,-5.37,-18.91,17.52,290.7,56.54,-13.54,0.229,11.41,54.41,43,399.4,385.9,2.372638
"2015-07-28 15:50:00",142,13.23,20.71,18.17,0.219,23.06,98.5,-3.787,-18.78,17.38,290.5,75.44,-14.99,0.234,19.27,79.72,60.45,400.2,385.2,2.050984
"2015-07-28 16:00:00",143,13.23,20.57,18.17,0.219,19.93,86,-3.665,-18.71,17.4,290.5,66.08,-15.05,0.232,16.26,67.3,51.04,400.4,385.4,1.798981
"2015-07-28 16:10:00",144,13.23,20.46,18.18,0.219,16.48,70.88,-4.003,-18.4,17.31,290.5,54.4,-14.4,0.232,12.48,52.48,40,399.6,385.2,1.60024
"2015-07-28 16:20:00",145,13.24,20.36,18.18,0.219,15.41,65.27,-3.803,-18.22,17.26,290.4,49.86,-14.42,0.236,11.61,47.05,35.45,399.5,385.1,1.336967
"2015-07-28 16:30:00",146,13.24,20.27,18.18,0.219,17.74,73.95,-3.288,-18.25,17.24,290.4,56.21,-14.96,0.24,14.45,55.7,41.25,399.9,385,1.176129
"2015-07-28 16:40:00",147,13.24,20.21,18.18,0.219,15.12,63.96,-3.231,-18.28,17.26,290.4,48.83,-15.05,0.236,11.89,45.68,33.79,400.1,385,0.9763614
"2015-07-28 16:50:00",148,13.24,20.16,18.18,0.219,10.46,44.77,-4.16,-17.59,17.16,290.3,34.3,-13.43,0.234,6.301,27.18,20.88,398.6,385.1,0.7970775
"2015-07-28 17:00:00",149,13.24,20.09,18.18,0.218,7.973,34.03,-4.633,-16.93,17,290.2,26.05,-12.29,0.234,3.34,17.1,13.76,397.2,384.9,0.6403264
"2015-07-28 17:10:00",150,13.25,20,18.18,0.218,4.815,21.65,-4.771,-16.22,16.81,290,16.84,-11.45,0.219,0.044,5.437,5.393,396.1,384.6,0.4436224
"2015-07-28 17:20:00",151,13.25,19.88,18.18,0.218,3.153,14.34,-5.009,-15.47,16.62,289.8,11.19,-10.46,0.22,-1.856,-1.125,0.731,394.8,384.3,0.1874908
"2015-07-28 17:30:00",152,13.25,19.75,18.17,0.22,3.163,13.7,-5.082,-15.13,16.52,289.7,10.54,-10.04,0.231,-1.919,-1.424,0.496,394.1,384.1,0.219252
"2015-07-28 17:40:00",153,13.25,19.61,18.17,0.218,3.351,14.28,-4.564,-14.74,16.4,289.6,10.93,-10.18,0.235,-1.213,-0.463,0.75,394,383.8,-0.09323415
"2015-07-28 17:50:00",154,13.26,19.49,18.17,0.218,3.548,14.27,-4.034,-14.48,16.33,289.5,10.72,-10.44,0.249,-0.485,-0.204,0.281,394.1,383.7,-0.4139243
"2015-07-28 18:00:00",155,13.26,19.4,18.16,0.218,3.204,12.38,-4.183,-14.39,16.3,289.5,9.17,-10.2,0.256,-0.979,-2.011,-1.032,393.8,383.6,-0.6915864
"2015-07-28 18:10:00",156,13.26,19.31,18.15,0.218,1.818,7.452,-3.838,-14.06,16.19,289.3,5.635,-10.23,0.243,-2.02,-6.613,-4.593,393.6,383.3,-0.9303185
"2015-07-28 18:20:00",157,13.26,19.24,18.14,0.218,1.859,7.675,-3,-13.79,16.05,289.2,5.816,-10.79,0.242,-1.141,-6.111,-4.97,393.6,382.8,-1.168027
"2015-07-28 18:30:00",158,13.26,19.16,18.14,0.218,1.336,5.461,-2.824,-13.88,15.95,289.1,4.125,-11.06,0.242,-1.488,-8.42,-6.934,393.2,382.2,-1.368864
"2015-07-28 18:40:00",159,13.27,19.09,18.13,0.218,0.725,3.677,-3.238,-15.54,15.8,289,2.951,-12.3,0.194,-2.513,-11.86,-9.35,392,379.7,-1.63527
"2015-07-28 18:50:00",160,13.27,18.99,18.12,0.218,0.432,1.553,-2.643,-16.57,15.58,288.7,1.122,-13.93,0.368,-2.212,-15.02,-12.81,391.4,377.5,-1.799215
"2015-07-28 19:00:00",161,13.27,18.9,18.11,0.217,0.174,-0.235,-2.305,-17.02,15.34,288.5,-0.41,-14.72,"INF",-2.131,-17.26,-15.13,390.5,375.7,-1.99288
"2015-07-28 19:10:00",162,13.27,18.78,18.1,0.217,0.064,-0.967,-2.021,-15.95,15.13,288.3,-1.031,-13.93,-0.071,-1.956,-16.91,-14.96,389.6,375.7,-2.145576
"2015-07-28 19:20:00",163,13.27,18.66,18.09,0.217,0.372,-0.624,-1.763,-14.74,15.01,288.2,-0.996,-12.97,-0.713,-1.391,-15.36,-13.97,389.2,376.2,-2.303396
"2015-07-28 19:30:00",164,13.28,18.54,18.09,0.217,0.133,-1.091,-1.817,-15.42,14.91,288.1,-1.224,-13.6,-0.145,-1.684,-16.51,-14.83,388.6,375,-2.497087
"2015-07-28 19:40:00",165,13.28,18.45,18.08,0.217,0.202,-1.111,-1.533,-15.35,14.76,287.9,-1.313,-13.82,-0.196,-1.331,-16.46,-15.13,388,374.2,-2.695885
"2015-07-28 19:50:00",166,13.28,18.36,18.07,0.218,0.197,-1.082,-0.73,-13.83,14.6,287.8,-1.28,-13.1,-0.188,-0.533,-14.91,-14.38,388,374.9,-3.008408
"2015-07-28 20:00:00",167,13.28,18.28,18.06,0.217,0.629,-0.62,-0.277,-12.8,14.52,287.7,-1.249,-12.52,-1.251,0.352,-13.42,-13.77,388,375.5,-3.245137
"2015-07-28 20:10:00",168,13.29,18.19,18.04,0.217,0.537,-0.69,-0.861,-13.65,14.52,287.7,-1.227,-12.79,-0.845,-0.323,-14.34,-14.02,387.5,374.7,-3.253363
"2015-07-28 20:20:00",169,13.29,18.08,18.03,0.217,0.289,-1.045,-0.761,-13.41,14.48,287.6,-1.334,-12.65,-0.283,-0.471,-14.46,-13.99,387.3,374.6,-3.411173
"2015-07-28 20:30:00",170,13.29,17.99,18.02,0.217,0.606,-2.586,0.004,-12.16,14.33,287.5,-3.192,-12.17,-0.255,0.61,-14.75,-15.36,387.3,375.1,-3.558763
"2015-07-28 20:40:00",171,13.29,17.89,18.01,0.217,0.762,-3.103,0.653,-10.37,14.11,287.3,-3.865,-11.02,-0.246,1.415,-13.47,-14.89,386.7,375.7,-3.803693
"2015-07-28 20:50:00",172,13.29,17.78,18,0.217,0.725,-2.561,1.31,-7.974,13.88,287,-3.287,-9.28,-0.282,2.035,-10.54,-12.57,386.2,376.9,-3.955376
"2015-07-28 21:00:00",173,13.3,17.64,17.99,0.217,1.06,-2.677,1.617,-6.705,13.75,286.9,-3.738,-8.32,-0.395,2.678,-9.38,-12.06,385.7,377.4,-4.027179
"2015-07-28 21:10:00",174,13.3,17.49,17.98,0.217,0.817,-2.206,1.625,-6.192,13.6,286.7,-3.023,-7.817,-0.37,2.442,-8.4,-10.84,385,377.1,-4.34389
"2015-07-28 21:20:00",175,13.3,17.34,17.96,0.217,0.845,-1.863,1.986,-5.361,13.48,286.6,-2.708,-7.347,-0.461,2.831,-7.224,-10.06,384.7,377.4,-4.607249
"2015-07-28 21:30:00",176,13.31,17.19,17.95,0.217,0.941,-2.016,1.867,-5.116,13.4,286.6,-2.957,-6.983,-0.471,2.808,-7.132,-9.94,384.2,377.2,-4.755879
