"TOA5","2833","CR3000","2833","CR3000.Std.27","CPU:Institut-EC-Station_5.CR3","23581","Table3"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","soiltemp_Avg","VWC_1_Avg","SR01_Out_Avg","SR01_In_Avg","IR01_Out_Avg","IR01_In_Avg","NR01_TC_Avg","NR01_TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","OutTot_Avg","InTot_Avg","NetTot_Avg","IR01_OutCo_Avg","IR01_InCo_Avg","H_Flux_Avg"
"TS","RN","Volts","Deg C","Deg C","","W/metre^2","W/metre^2","W/metre^2","W/metre^2","Deg C","k","W/metre^2","W/metre^2","W/metre^2","W/metre62","W/metre^2","W/metre^2","W/metre^2","W/metre^2","W/m^2"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2015-07-29 08:10:00",0,11.82,18.2,16.98,0.311,162.3,674.2,5.81,-40,18.33,291.5,512,-45.81,0.241,168.1,634.2,466.1,415.1,369.3,-6.684317
"2015-07-29 08:20:00",1,13.29,19.02,16.98,0.311,171.7,715.3,5.525,-40.73,19.3,292.5,543.7,-46.26,0.24,177.2,674.6,497.4,420.3,374,-6.103564
"2015-07-29 08:30:00",2,13.28,19.71,16.99,0.311,175.4,738.3,3.185,-44.67,20.34,293.5,562.8,-47.85,0.238,178.6,693.6,515,423.9,376,-5.485271
"2015-07-29 08:40:00",3,13.27,20.35,17.01,0.31,179.5,759.2,-0.407,-48.57,21.24,294.4,579.7,-48.16,0.236,179.1,710.6,531.6,425.5,377.3,-4.977813
"2015-07-29 08:50:00",4,13.25,20.94,17.02,0.309,204.9,870,-0.753,-47.76,22.42,295.6,665.3,-47,0.235,204.1,822,618.3,432,385,-4.151704
"2015-07-29 09:00:00",5,13.24,21.66,17.04,0.308,176.3,768,-3.123,-48.44,23,296.1,591.7,-45.32,0.228,173.2,719.5,546.4,433,387.7,-3.162799
"2015-07-29 09:10:00",6,13.23,22.24,17.06,0.307,154.5,682.6,-5.654,-54.39,22.9,296,528.1,-48.74,0.226,148.9,628.2,479.4,429.9,381.2,-2.154526
"2015-07-29 09:20:00",7,13.21,22.62,17.09,0.307,184.5,808,-3.004,-60.83,23.61,296.8,623.6,-57.83,0.228,181.5,747.3,565.8,436.7,378.9,-1.656545
